Timestamp,Email address,sba,fr
16/07/2022 21:09:37,,Màn̄ bā nè lé àr̄ yál-yál,L'eau dans cette rivière est parfaitement claire
16/07/2022 21:10:13,,màn̄ àr̄,L'eau devient claire
16/07/2022 21:10:48,,lò àr̄ ,faire jour
16/07/2022 21:11:33,,Mbā-ɗí ɓá àr̄ ə̀ĺ wà?,Pourquoi n'en a-t-il pas donné?
16/07/2022 21:12:09,,D-ár-é tə̀njì kū kárā,Ils lui donnèrent une gourde de miel
16/07/2022 21:13:13,,"mā̰ m-ár, ī ár, ḛ̀ àr̄, jḛ̀ḛ̄ j-àr̄-jē, sḛ̀ḛ̄ ār-jē, dḛ́ d-ár ","je donne, tu donnes, il donne, nous donnons, vous donnez, ils donnent"
16/07/2022 21:13:41,,"yḛ̀ àr̄-m̄, yḛ̀ ā-m̄, yḛ̀ àr̄-ī, yḛ̀ àr̄-é, yḛ̀ àr̄-sí jḛ̀ḛ̄, yḛ̀ àr̄-sí sḛ̀ḛ̄, yḛ̀ àr̄-dé dḛ́","il me donne, il me donne (forme contracté), il te donne, il nous donne, il vous donne, il les donne"
16/07/2022 21:14:48,,ār-m̄ bèlō lə̀-í m-āw-né mbā,Donne-moi ton vélo pour que je fasse un voyage avec
16/07/2022 21:15:54,,árgè lé ɗā gɨ̀ ngàlì nè kīdō ndáà ɗā gɨ̀ kō.,"L'""Argi"" est une boisson fabriquée à base du manioc tandis que la ""bili-bili"" est fabriqué à base du mil"
16/07/2022 21:16:34,,"ɓōgɨ́-nè ndáā àsɨ̀ ngàā, sḛ̀ḛ̄ dàw jē yā̰","Cela suffit pour aujourd'hui, car vous êtes très fatigués"
16/07/2022 21:17:24,,Tò nè àsɨ̀ mḭ́ jē bè, Il y a environ cinq
16/07/2022 21:19:15,,āw də̄ ɗá wà?,Où vas-tu? 
16/07/2022 21:20:11,,Ngōn lé àw̄ də̄ ɗá wà?, L'enfant est allé où?
16/07/2022 21:20:41,,Kó̰-ḿ jē àw̄ súgɨ̀ gɨ́ ndɔ̄ɔ́-nè,Ma mère est allée au marché ce matin
16/07/2022 21:21:16,,àw̄ gɨ̀ rɔ̄-ḿ gɨ́ nè,Il se dirige vers moi
16/07/2022 21:21:52,,ɗí āw sán̄g wà?,Qu'es-tu venu chercher?
16/07/2022 21:22:32,,Kūbū lə̀-ḿ lé àӯ ə̀ĺ ɓə́y,Mon vêtement n'est pas encore sec
16/07/2022 21:23:02,,āw ī-tā màn̄ gɨ́ nè ā-m m-āy,Va prendre de l'eau et donne m'en pour que je boive
16/07/2022 21:23:37,,ā-m màn̄ m-āy,Donne-moi de l'eau à boire
16/07/2022 21:24:07,,M-úrū áytìsó,J'éternue
16/07/2022 21:24:41,,M-ndìgì kùr áytìsó nè tḛ̀ḛ̄ ə̀ĺ,"J'ai besoin d'éternuer, mais il ne me sort pas"
16/07/2022 21:25:34,,"ḭ̄ dá, ī-njā yā̰ à̰á̰!","Toi vraiment, tu marches trop, hein!"
16/07/2022 21:26:59,,ḭ́ ɗá ɓá à̰ẃ wà?,Tu reviens d'où? 
16/07/2022 21:28:12,,"Ndáà mbáy lé à̰ӯ àw̄ ɓē lə̀-á, àw̄ àr̄ dèné lə̀-á lé",Alors le roi s'enfuit et rentre dans son village et il le donne à sa femme
16/07/2022 21:28:43,,Bísī àw̄ gɨ̀ dɔ̀-m̄ gɨ́ né mbā tó̰-m̄ nè m-ā̰y m-āw,"Le chien se dirigeait vers moi pour me mordre, mais j'ai fuit"
16/07/2022 21:29:13,,Ná̰ ɓá à̰ӯ ngɔ̄dɨ̄ nè wà?,Qui est-ce qui passe ici en courant?
16/07/2022 21:30:04,,Rɔ̄ kānjī kūŕ lé à̰ӯ gə́m tōgɨ́ gə́m bè.,"Le corps du poisson ""kur"" est visqueux comme la sauce longue."
16/07/2022 21:31:05,,"Màn̄ bā tō lò ndām ə̀ĺ, ḭ́yá̰ ngán jē àr̄ dé dɨ́-ndām kènéng gɨ́ ə̀ĺ",L'eau au fleuve n'est pas un endroit pour s'amuser -- ne laisse pas les enfants y aller
16/07/2022 21:31:41,,M-ā kɔ̀r̄ sə̀-í sùrū gɨ́ kàrī bàá yàá,Je viens simplement bavarder avec toi
16/07/2022 21:32:15,,Sɔ́ né lám bàá bè,Tu manges un peu seulement
16/07/2022 21:33:03,,Ndī lé ə̀r lám bàá yàá,La pluie est tombée un peu seulement
16/07/2022 21:33:30,,m̄-gə̀r̄ ə̀ĺ bàá,Je ne sais pas exactement
16/07/2022 21:34:11,,Tò dàn-á bàb,C'est en plein milieu
16/07/2022 21:34:45,,Mám lò bàb bàb,Il cherche à tâtons (en vain)
16/07/2022 21:35:17,,ḛ̀ ùn làr lì-á dàn nā̰y gɨ́ bàbɨ̀,Il a reçu son salaire au milieu du mois
16/07/2022 21:35:55,,Kàmyō̰ lə̀-dé òy mḛ̀-kɔ̀r̄ gɨ́ dàn-á bàbɨ̀ = Dàn mḛ̀-kɔ̀r̄ gɨ́ bàbɨ̀ yàá kàmyō̰ lə̀-dé òy kènéng.,Leur camion est tombé en panne en plein milieu de la forêt
09/08/2022 17:14:45,,"""J-àw̄ ndògō màn̄"" à tél bàkúrā","""Allons nous baigner"" deviendra amitié."
09/08/2022 17:15:15,,Bàl bḭ̄yā̰ tō bàw̄ bḭ̄yā̰,Le bouc est un mâle chèvre
09/08/2022 17:15:48,,Dèné lé ùwà bàl-kɔ̀r̄ tɔ̄l-é àr̄ ngàb-é jē ùsà dɨ̀ káré láy,"La femme prend un bouc, le tue et le donne à son mari qui le mange tout seul"
09/08/2022 17:16:26,,Ngán jē d-úndā bál̀ tà kə́y-lèkól̀ gɨ́,Les enfants jouent au football devant l'école
09/08/2022 17:20:36,,ɓōlé úwá njè-ɓògò ndáà à kùndà bālā,Si tu attrapes un voleur il va trembler
09/08/2022 17:21:08,,Gūm-dɔ̀-kāgɨ̄ lé m-ó̰ bàń-é,J'ai pris le remède préventif contre le piège invisible pour attraper les hommes
09/08/2022 17:28:39,,í-ɗā bàń ɓá í-gə̀r̄ wà?,comment?
09/08/2022 17:29:33,,í-ɗā bàń ɓá í-gə̀r̄ wà?,Comment as-tu fait pour savoir?
09/08/2022 17:29:56,,Sé ɗā bàń ɓá ār də̀w̄ jē ngínā-ī pí bè wà?,Comment se fait-il que les gens t'attendent en vain?
09/08/2022 17:30:53,,ī-ɗèē dɨ̀ kàr gɨ́ bàń wà?,Tu es venu à quelle heure?
09/08/2022 17:38:08,,"ɓōgɨ́-nè də̀w̄ à tḛ̀ḛ̄ gɨ̀ ngīrā kùd-é gɨ́ ə̀ĺ lə́m, bàndē kùd-é gɨ́ ə̀ĺ lə́m tɔ̀","Aujourd'hui les hommes ne portent pas de tabliers de peau, ni les femmes de cache-sexes non plus"
09/08/2022 17:38:33,,Bāngàw gɨ́ tɔ́l lé d-ɔ́bɨ̄ gɨ̀ ùbū,"La patate douce pelée, on la prépare avec d'huile"
09/08/2022 17:39:07,,Bàngɨ̀rà lé tújī né yā̰ ùndā ɓə̀dɨ̄,Le cynocéphale détruit plus de choses que le singe
09/08/2022 17:44:25,,Njè-rə̄m ndīngā bānjī,Le paresseux convoite la lèpre
09/08/2022 17:44:56,,Bàr-gìr-ḿ ɗā-m̄ yā̰,Mon dos me fait beaucoup mal
09/08/2022 17:45:26,,ún wér̀ nà ūndā kàr bàrádɨ̀ dɨ́,Prends ce verre pour mettre a côté de la théière
09/08/2022 17:46:01,,Ngōn gɨ́ bàsá,garçon beau
09/08/2022 17:46:25,,"gōn lə̀ mbàng lé bàsá yā̰, dèné jē láy à ndìgì tì-á","Le fils du chef est très beau, toutes les jeunes filles veulent le marier"
09/08/2022 17:46:52,,Bàtú ngḛ̀y yégɨ̄ mbā kùwà-á,Le chat guette le rat pour le saisir
09/08/2022 17:47:23,,Tō bɔ̀b-ḿ ɓá ùlà-m̄,C'est mon père qui m'envoie
09/08/2022 17:47:49,,Bàw̄ ngōn jē d-ó ndū ngōn-dé dɔ̀ kāgɨ̄ dɨ́,Les parents de l'enfant entendirent la voix de leur enfant dans l'arbre
09/08/2022 17:48:24,, Mbàng lé ùwà ngōn-bàsá nè bɔ̀b-ɔ́ jē mā̰y dì-á,"Le chef a arrêté un jeune homme, mais son père a nié les accusations portées contre lui"
09/08/2022 17:48:48,,"Kártɨ̀ jē gɨ́ bò bò tò: bàw̄ tɔ̀, kó̰ tɔ̀, káygámà tɔ̀, àbtàládà tɔ̀, àbtìnéǹ tɔ̀","Les cartes importantes sont: l'as, le trois, le roi, la dame et le valet"
09/08/2022 17:49:21,,ɔ̀sɨ̀ dì-á báẁ,Il bouscule sa tête d'un mouvement sec
09/08/2022 17:50:00,,Bàw̄-ḿ jē tō báw-ndɔ̀ɔ̄ àsɨ̀ kə̀m ndɔ̀ɔ̄ ngán ndɔ̀ɔ̄ dɔ̀gɨ̀ mḛ̀ lə̄bɨ̄ kárā,"Mon père est un grand-cultivateur, il peut labourer dix champs de coton chaque année"
09/08/2022 17:50:33,,Bày lé tá nà̰ā̰ gɨ̀ ngō nè ḛ̀ ɓá ɗā gɨ̀ ánjī,"La petite marmite pour la boule est pareille à la marmite en bois, mais il est fait d'argile"
09/08/2022 17:50:57,,ḛ̀ lé ɗā bàylà tā-né né lə̀-ḿ,Il a fait une ruse pour prendre ma chose
09/08/2022 17:51:24,,Mbɔ́l-dɔ̀ kūnjá ɓá bàylà àӯ-né màn̄,C'est grâce à la poule que le margouillat boit de l'eau
09/08/2022 17:51:51,,"Báylà, ḭ́yá̰-m̄ ā-m̄ m-īlā mèr gɔ́b-í gɨ́","margouillat, laisse-moi mettre des perles autour de ton cou"
09/08/2022 17:52:17,,Bà̰ kāgɨ̄ nè lé màjì ìlā ndògō yā̰,Ce bois fourchu est très bon pour mettre le secko
09/08/2022 17:52:45,,M-ā m-āw dɔ̀ kāgɨ̄ gɨ́ nà m̄-sí bḭ̀-á gɨ́,Je suis monté sur l'arbre est assis sur la fourche
09/08/2022 17:53:09,,Kāgɨ̄ gɨ́ tɔ̄ bà̰ nè lé màjì lá ndíl yā̰,Ce bois qui est fourchu est très bon pour faire un hangar (pour l'ombre)
09/08/2022 17:53:43,,Bà̰ā̰ lə̀ bɔ̀b-í jē nà̰y dɔ̀-í gɨ́,La rancune de ton père reste sur toi
09/08/2022 17:54:48,,Jōó bè,deux comme ça
09/08/2022 17:55:17,,jōó jēń bè,environs deux
09/08/2022 17:55:45,,Bè dáà m-ā kàw̄ ɓē-é ngàā,Alors je vais rentrer à la maison maintenant
09/08/2022 17:56:15,, Bàń ɓá sé bèl̄ də́r tò yā̰ tà gūm dɨ́ lə̀-ḿ wà?,Comment donc se fait-il que de nombreuses plumes de tourterelle se trouvent au bord de mon piège?
09/08/2022 17:56:42,,Láw jē d-úr tūlā bèl̄ dɔ̀-dé gɨ́,Les jeunes de l'initiation mettent des plumes dans leurs cheveux
09/08/2022 17:57:20,,Bɔ̀ɔ̄-ḿ jē lé tō də̀w̄ gɨ́ bèl̄ rī-á yā̰,Mon père est un homme avec beaucoup de poils
09/08/2022 17:57:46,,Bɔ̀ ngōn jē lé bélē gɨ̀ ngōn-é yā̰,Le père de l'enfant se vantait beaucoup de son fils
09/08/2022 17:58:20,,Bèn̄-ḿ jē lé tō kó̰-nān bɔ̀-ḿ jē,Ma tante paternelle est la soeur de mon père
09/08/2022 17:58:43,,Sɔ̀ sì-á né bènēng,Il a ainsi mangé avec lui
09/08/2022 17:59:09,,Bèrè ɓá m-ā kàw̄,Demain je vais partir
09/08/2022 17:59:31,,ɗí ā ɗā bèrè dɨ̀-sḭ́ wà?,Qu'est-ce que tu vas faire demain matin?
09/08/2022 18:00:02,, òsō nàńg bə̀bə̀rə̀ nḭ̀-á gɨ́,Il est tombé brutalement devant lui
09/08/2022 18:00:47,,"Ngōn ùn bə̀gə̀rə̀, ìlā nàńg mbɔ́r njé ndām jē dɨ́",Un enfant prit une planche et la posa par terre à côté de ceux qui jouaient.
09/08/2022 18:01:22,,ḛ̀ bə́gɨ̄-é yā̰ àr̄-é òō lò kə̀m̄-ə́ ə̀ĺ, Il le gêne à tel point qu'il n'a pas le temps de respirer
09/08/2022 18:01:49,,Bə̀r̄ lé ɗā dìngàm yā̰,Le phacochère est très agressif.
09/08/2022 18:02:13,,ḛ̀ gɨ́ sì tàŕ lé ə̀njī dɔ̀ ḛ̀ gɨ́ sì bə̀ŕ èĺ,Celui qui est en haut ne se soucie pas de celui qui est en bas
09/08/2022 18:02:40,,M-ā m̄-sán̄g sḭ̀ árgè mbā kàr̄ bə̀r̄-kósō jē lə̀-ḿ d-ísɔ̄.,Je suis à la recherche de résidus de la bière pour en donner à manger à mes cochons
09/08/2022 18:14:29,,Tḛ̀ḛ̄ kə̀m-é bə̀sɨ̀sɨ̀,Ouvre grand les yeux
09/08/2022 18:14:53,,Mā̰ m-íngā kānjī gɨ́ bə̀ý,"Mois, j'ai eu un gros poisson"
09/08/2022 18:21:37,,Bí dɔ̀ tábɨ̀l ā-m̄,Essuie la surface de la table pour moi
09/08/2022 18:36:57,,Dèné òm kō mḛ̀ kèē gɨ́ mbā kɔ̀r̄ bìnā, La femme a versé le mil dans le van et l'a secoué pour enlever le son
09/08/2022 18:38:55,,"Lò gɨ́ nā̰ bè ndáà, lèl̄ yā̰ ndáà, ùn bìn̄g-é kárā ùsà","A peine a-t-elle goûté, c'était tellement bon qu'elle prend une cuisse et la mange"
09/08/2022 18:39:25,,Lī tó̰ bìn̄gɨ̄-ḿ,Un serpent m'a mordu à la cuisse
09/08/2022 18:39:51,,òm bìr-í sə̀bɨ̀ ndáà kō lé àr̄ ə̀ĺ,"Il le verse dans un mortier et l'écrase, mais le mil n'est pas propre"
09/08/2022 18:40:14,,Dèné lé mbél kō mḛ̀ bìr-í,La femme a versé le mil dans le mortier
09/08/2022 18:40:36,,Bísī lé àw̄ mbā kùn mùrū lé,Le chien partit pour prendre le morceau de boule
09/08/2022 18:41:00,,Bísī lə̀-ḿ ɓə̄ĺ bə̀r̄ jē ə̀ĺ,Mon chien ne craint pas les phacochères
09/08/2022 18:41:27,,M-āw m-āy bíyā,Je suis en train de manger la bouillie
09/08/2022 18:41:54,,Kàmyō̰ òdō bḭ́ àw̄-né Mūndūú mbā-tà kə́y-kùndà-bḭ́ gòdó Dōbāá,Les camions transportent le coton à Moundou parce que l'usine à Doba est fermée
09/08/2022 18:42:31,,Bɔ̀w̄-ḿ jē tō də̀w̄ gɨ́ bḭ̀ḭ̄ rī-á yā̰,Mon père est un homme avec beaucoup de poils 
09/08/2022 18:42:56,,Də̀w̄ jē d-ísɔ̄ bḭ́-sḭ̀ ə̀ĺ mbā-tà bḭ́-sḭ̀ lé ò̰ sì,Les gens ne mangent pas le scarabée parce que le scarabée mange l'excrément
09/08/2022 18:43:21,,Bḭ̀yà̰ jē lé ɗā kə́y lə̀-dé nàńg nè dḛ́ ɗā dìngàm yā̰ ə̀ĺ,"Les abeilles de terre vivent dans des trous dans le sol, mais ils ne sont pas très agressifs"
09/08/2022 18:43:46,,Kə̀r-gōsɨ̄ dɔ̀ bḭ̀yà̰ dɨ́ kò̰-né nàng,L'astuce sur le miel de l'abeille de terre pour manger de sable
09/08/2022 18:44:11,,"Báw-ndɔ̀ɔ̄ kárā ùl̄ kūnjá jē yā̰, ùl̄ bḭ̄yā̰ jē, ɓá ùl̄ bísī jē tɔ̀","Un maître cultivateur élevait beaucoup de poules, des chèvres et aussi des chiens"
09/08/2022 18:44:33,,Kó̰-bḭ̄yā̰ lə̀-ḿ àw̄ gɨ̀ ngán jē yā̰,Ma chèvre a eu beaucoup de petits
09/08/2022 18:44:55,,"D-ḭ́yá̰ ngōn lé dɔ̀ bə̀gə̀rə̀ gɨ́ nàńg, dàn ɗə́w bò gɨ́","Ils ont laissé l'enfant sur la planchette à terre, au beau milieu de la grande route"
09/08/2022 18:46:28,,Bòdò màr̄-é dɨ́ ɓō bòdò nòjī dɨ́ ə̀ĺ,"Si quelqu'un te donne quelque chose, il te faut aussi lui donner"
09/08/2022 18:46:48,,ā-m bòdò màr-é gɨ́ m-ār-ī gɨ́ lé,Donne-moi cela à place de ce que je t'ai donné
09/08/2022 18:47:12,,ùlà jī-á bòlè tə̀njì dɨ́,Il a mit sa main dans le trou à miel
09/08/2022 18:47:33,,Də̀w̄ ndōgō būr bòlè gɨ́ ə̀ĺ,On n'achète pas un varan dans le trou 
09/08/2022 18:48:00,,Də̀w̄ ndōgō būr bòlò gɨ́ ə̀ĺ,On n'achète pas un varan dans le trou
09/08/2022 18:48:28,,Kə́y gɨ́ ngō-kó̰-í ùndā lé bòý yā̰ wà? ,"La maison que ton frère a construite, est-elle grande?"
09/08/2022 18:48:49,,Mbàgɨ̄ lé tō kāgɨ̄ gɨ́ bòý,Le caïlcédrat est un grand arbre
09/08/2022 18:49:16,,Sé ɗā bàń ɓá ngōn-í bòý bè wà?,Comment se fait-il que ton enfant est si gros?
09/08/2022 18:49:47,,à-m̄ m-úndā bɔ̀ yā̰,Il m'a fait roter beaucoup
16/08/2022 23:02:14,,Də̀w̄ gɨ́ m-ē-é súgɨ̀ tàgɨ́-nè lé tō bàb-á lə̀-í,La personne que j'ai vue au marché hier était ton père
16/08/2022 23:02:42,,Bɔ̀r̄ dɔ̀ tábɨ̀l à-m̄,Essuie la surface de la table pour moi
16/08/2022 23:03:10,,ɗèē gɨ̀ bḭ̄yā̰ jē gɨ́ tɔ́-dé nṵ́ lé jōó bɔ́r nè,Amène ici les deux cabris attachés là-bas
16/08/2022 23:03:35,,Bɔ̀rɔ̀ nè dá àsɨ̀ kə̀m kḭ̀yà̰ bè ngàā,"Ce mur là, on peut le laisser comme ça maintenant"
16/08/2022 23:04:05,,m̄-mbìdà m-ōsō dàn bɔ̀rɔ̀ gɨ́,J'ai glissé et je suis tombé dans la boue
16/08/2022 23:04:29,,M-úndā jī-á də̄ nàńg bɔ̀rɔ̀g,J'ai baissé sa main d'un coup sec
16/08/2022 23:04:57,,Dèné jē lé d-ódō bū ɗā-né sàbō̰-kàdɨ̄,Les femmes apportent les cendres pour fabriquer le savon indigène
16/08/2022 23:05:24,,Būdú màn̄ lé mḛ̀ jó gɨ́,Vide l'eau dans la jarre
16/08/2022 23:06:09,,ìngà də́r kárā gɨ́ tɔ̄ ngán tò-né gél búdū dɨ́,Il rencontra un pigeon avec ses petits sous une touffe de l'herbe
16/08/2022 23:06:31,,Kédé lé kə̀r̄ jē bùlà-ī yā̰ ndáà ɓàsí-nè ndáà də̀w̄ jē tɔ̄l-dé láy,"Auparavant les éléphants étaient nombreux, mais maintenant les gens les ont tous tués"
16/08/2022 23:06:56,, ō bùlà bḭ̄yā̰ jē,Voilà l'abri des chèvres
16/08/2022 23:07:18,,"Bùlà kīnjá jē lə̀-ḿ ngìsì, m-ā m̄-tújī mbā gɨ̀ ɗā ḛ̀ gɨ́ sìgì","Mon poulailler est devenu ancien, je vais construire un nouveau"
16/08/2022 23:07:50,,Bùlà-màn̄ gɨ́ ɓē lə̀-sí lé ùr yā̰,Le puits dans notre village est très profond
16/08/2022 23:08:37,,Būr lé tá nà̰ā̰ gɨ̀ báylà bè nè ḛ̀ bò yā̰,"Le varan est un animal pareil au margouillat, mais il est plus grand"
16/08/2022 23:09:27,,àr̄-é bùrá yàá,Il le lui a donné en entier
16/08/2022 23:11:19,,ḭ̀yà̰ kīdō né gɨ́ bùrá yàá mbél kɔ̄rɔ́,Il à versé de la bière (qui est quand même considérable)
16/08/2022 23:11:53,,Mā̰ gɨ́ bùrá yàá,Moi-même en personne
16/08/2022 23:13:19,,Kéré lə̀-ḿ mā̰ gɨ́ bùrá yàá,Ma propre clef
16/08/2022 23:13:46,,Būrā lə̀-ḿ sḛ́ ɓá ɓō à kùwà kèm-ndō̰y ə̀ĺ,Mon filet est trop petit pour prendre le capitaine
16/08/2022 23:14:06,,Mbàw ìlā būrā lə̀-á màn̄,Le pêcheur lançait le filet dans l'eau du fleuve
16/08/2022 23:14:28,,Tàr gɨ́ yúrúrú ɓá ḭ̀yà̰ būrūrū àr̄ ɓɔ̄n tò gɨ́,La douce parole laisse un trou pour l'écureuil
16/08/2022 23:14:48,,ùbà-dé nàńg bùs,Il est venu sur eux à l'improviste
16/08/2022 23:15:13,,ùlà bùsū dì-á dɨ́,On l'a ridiculisé
16/08/2022 23:15:53,,"Kàw̄ ján-ján yàá kùmā tèē ɓē gɨ́, kàw̄ bùwà ndáà kùmā tā mbáy dèné","C'est en allant lentement qu'on arrive au village, c'est en restant longtemps célibataire qu'on prend une femme honorable."
16/08/2022 23:16:19,,M-úr būwá mbā kùlà kāgɨ̄ ndògō lə̀-ḿ kènéng gɨ́,J'ai fait un trou dans la terre pour y mettre le poteau pour le secko
16/08/2022 23:16:44,,Də̀w̄ jē d-úr būwá gɨ̀ dígà jē,Les gens creusent les trous avec des pioches
16/08/2022 23:17:06,, Kə́y dɨ́ būwá mḛ̀ mṵ̀ dɨ́ də̀w̄,"La maison est un trou, mais la brousse est une personne"
16/08/2022 23:17:27,,Būr tò mḛ̀ būwá ndōrōrō dɨ́, Un varan se trouvait dans un trou de la termitière
16/08/2022 23:17:45,,Dā būwá ò̰ nà̰y ɗágá ə̀ĺ,Un animal avec un trou ne dort pas dehors
16/08/2022 23:18:12,,"Kó̰-ḿ ùy yàá ndáà, dùb-é būwá-kānjī dɨ́",Ma mère est morte et on l'a enterré dans le trou à poisson
